priority_rank,trial_id,reason,period_title,arm_id,predicted_graph_weight,risk_percentile,risk_tier,action_hint,intervention_plan,queue_date,due_date,owner,status,outreach_channel,followup_outcome,notes
123,NCT01813435,did not finish experimental regimen,Overall Study,FG000,0.5116812250677879,0.9945818714748856,high,Review participant burden and site workflow for targeted retention intervention.,Review participant burden and site workflow for targeted retention intervention.,2026-02-06,2026-02-13,,new,,,
124,NCT03758638,Lost to Follow-up,Overall Study,FG001,0.5098358487771326,0.9945374605853357,high,"Strengthen retention logistics: reminders, transport, and re-contact workflow.","Strengthen retention logistics: reminders, transport, and re-contact workflow.",2026-02-06,2026-02-13,,new,,,
125,NCT00424047,Progression of disease,Blinded Treatment (Up to 03 Aug 2005),FG000,0.5086765088707048,0.9944930496957854,high,Review participant burden and site workflow for targeted retention intervention.,Review participant burden and site workflow for targeted retention intervention.,2026-02-06,2026-02-13,,new,,,
126,NCT01564537,Reason not specified,Overall Study,FG001,0.5069352253999203,0.9944486388062352,high,Review participant burden and site workflow for targeted retention intervention.,Review participant burden and site workflow for targeted retention intervention.,2026-02-06,2026-02-13,,new,,,
127,NCT01564537,Reason not specified,Overall Study,FG000,0.5024789217598012,0.9944042279166851,high,Review participant burden and site workflow for targeted retention intervention.,Review participant burden and site workflow for targeted retention intervention.,2026-02-06,2026-02-13,,new,,,
128,NCT01102426,Progressive Disease,Overall Study,FG001,0.5016114554131748,0.994359817027135,high,Review participant burden and site workflow for targeted retention intervention.,Review participant burden and site workflow for targeted retention intervention.,2026-02-06,2026-02-13,,new,,,
129,NCT02181413,Withdrawal by Subject,Overall Study,FG001,0.501062290942291,0.994315406137585,high,Run expectation alignment and motivational touchpoints before next visit.,Run expectation alignment and motivational touchpoints before next visit.,2026-02-06,2026-02-13,,new,,,
130,NCT02861534,Death,Overall Study,FG001,0.4986265197127485,0.9942709952480348,high,Review participant burden and site workflow for targeted retention intervention.,Review participant burden and site workflow for targeted retention intervention.,2026-02-06,2026-02-13,,new,,,
131,NCT02312258,Withdrawal by Patient,Overall Study,FG001,0.4950524405794641,0.9942265843584848,high,Run expectation alignment and motivational touchpoints before next visit.,Run expectation alignment and motivational touchpoints before next visit.,2026-02-06,2026-02-13,,new,,,
132,NCT01327846,Study terminated by sponsor,Extension Phase,FG001,0.4923148711385716,0.9941821734689346,high,Review participant burden and site workflow for targeted retention intervention.,Review participant burden and site workflow for targeted retention intervention.,2026-02-06,2026-02-13,,new,,,
133,NCT02861534,Death,Overall Study,FG000,0.4922232712191667,0.9941377625793844,high,Review participant burden and site workflow for targeted retention intervention.,Review participant burden and site workflow for targeted retention intervention.,2026-02-06,2026-02-13,,new,,,
134,NCT05093933,Death,Overall Study,FG001,0.4915978769269939,0.9940933516898344,high,Review participant burden and site workflow for targeted retention intervention.,Review participant burden and site workflow for targeted retention intervention.,2026-02-06,2026-02-13,,new,,,
135,NCT03057951,Adverse Event,Overall Study,FG001,0.4868404139767854,0.9940489408002844,high,Prioritize safety follow-up cadence and symptom triage outreach.,Prioritize safety follow-up cadence and symptom triage outreach.,2026-02-06,2026-02-13,,new,,,
136,NCT03814187,Sponsor's Administrative Decision,Overall Study,FG002,0.4857675955128072,0.994004529910734,high,Review participant burden and site workflow for targeted retention intervention.,Review participant burden and site workflow for targeted retention intervention.,2026-02-06,2026-02-13,,new,,,
137,NCT01327846,Study terminated by sponsor,Extension Phase,FG000,0.4781947350626783,0.993960119021184,high,Review participant burden and site workflow for targeted retention intervention.,Review participant burden and site workflow for targeted retention intervention.,2026-02-06,2026-02-13,,new,,,
138,NCT03057951,Adverse Event,Overall Study,FG000,0.478126860617996,0.993915708131634,high,Prioritize safety follow-up cadence and symptom triage outreach.,Prioritize safety follow-up cadence and symptom triage outreach.,2026-02-06,2026-02-13,,new,,,
139,NCT01327846,Study terminated by sponsor,Extension Phase,FG002,0.4765798206718448,0.9938712972420838,high,Review participant burden and site workflow for targeted retention intervention.,Review participant burden and site workflow for targeted retention intervention.,2026-02-06,2026-02-13,,new,,,
140,NCT04509674,"Patient refusal to continue, not due to adverse event",Overall Study,FG000,0.4687153302682937,0.9938268863525336,high,Prioritize safety follow-up cadence and symptom triage outreach.,Prioritize safety follow-up cadence and symptom triage outreach.,2026-02-06,2026-02-13,,new,,,
141,NCT04072835,Ablation,Overall Study,FG000,0.4629551647091658,0.9937824754629836,high,Review participant burden and site workflow for targeted retention intervention.,Review participant burden and site workflow for targeted retention intervention.,2026-02-06,2026-02-13,,new,,,
142,NCT01023308,Adverse Event,Overall Study,FG000,0.4620873739125592,0.9937380645734334,high,Prioritize safety follow-up cadence and symptom triage outreach.,Prioritize safety follow-up cadence and symptom triage outreach.,2026-02-06,2026-02-13,,new,,,
143,NCT00773747,Lack of Efficacy,Overall Study,FG000,0.4617829271800892,0.9936936536838832,high,Review participant burden and site workflow for targeted retention intervention.,Review participant burden and site workflow for targeted retention intervention.,2026-02-06,2026-02-13,,new,,,
144,NCT03064126,Death,Overall Study,FG000,0.4530308134827375,0.9936492427943332,high,Review participant burden and site workflow for targeted retention intervention.,Review participant burden and site workflow for targeted retention intervention.,2026-02-06,2026-02-13,,new,,,
145,NCT04509674,"Patient refusal to continue, not due to adverse event",Overall Study,FG001,0.4453983355584224,0.9936048319047832,high,Prioritize safety follow-up cadence and symptom triage outreach.,Prioritize safety follow-up cadence and symptom triage outreach.,2026-02-06,2026-02-13,,new,,,
146,NCT02648347,Death,Overall Study,FG000,0.4450334944995238,0.9935604210152328,high,Review participant burden and site workflow for targeted retention intervention.,Review participant burden and site workflow for targeted retention intervention.,2026-02-06,2026-02-13,,new,,,
147,NCT03057977,Adverse Event,Discontinuation From Treatment,FG000,0.4428177467390774,0.9935160101256828,high,Prioritize safety follow-up cadence and symptom triage outreach.,Prioritize safety follow-up cadence and symptom triage outreach.,2026-02-06,2026-02-13,,new,,,
148,NCT05093933,Death,Overall Study,FG000,0.4390148007064977,0.9934715992361328,high,Review participant burden and site workflow for targeted retention intervention.,Review participant burden and site workflow for targeted retention intervention.,2026-02-06,2026-02-13,,new,,,
149,NCT03651765,Lack of Efficacy,Overall Study,FG000,0.4387586659336904,0.9934271883465826,high,Review participant burden and site workflow for targeted retention intervention.,Review participant burden and site workflow for targeted retention intervention.,2026-02-06,2026-02-13,,new,,,
150,NCT03057977,Adverse Event,Discontinuation From Treatment,FG001,0.4328942333949406,0.9933827774570324,high,Prioritize safety follow-up cadence and symptom triage outreach.,Prioritize safety follow-up cadence and symptom triage outreach.,2026-02-06,2026-02-13,,new,,,
151,NCT02648347,Death,Overall Study,FG001,0.4313553606408631,0.9933383665674824,high,Review participant burden and site workflow for targeted retention intervention.,Review participant burden and site workflow for targeted retention intervention.,2026-02-06,2026-02-13,,new,,,
152,NCT01908816,Early termination,Overall Study,FG002,0.4244243446480952,0.9932939556779322,high,Review participant burden and site workflow for targeted retention intervention.,Review participant burden and site workflow for targeted retention intervention.,2026-02-06,2026-02-13,,new,,,
153,NCT01734928,Adverse Event,Treatment Period,FG001,0.4222636329774006,0.993249544788382,high,Prioritize safety follow-up cadence and symptom triage outreach.,Prioritize safety follow-up cadence and symptom triage outreach.,2026-02-06,2026-02-13,,new,,,
154,NCT01335399,Adverse event unrelated to study drug,Treatment Period,FG001,0.4218410186282439,0.993205133898832,high,Prioritize safety follow-up cadence and symptom triage outreach.,Prioritize safety follow-up cadence and symptom triage outreach.,2026-02-06,2026-02-13,,new,,,
155,NCT00179647,Lack of Efficacy,Overall Study,FG000,0.4212296539626172,0.9931607230092818,high,Review participant burden and site workflow for targeted retention intervention.,Review participant burden and site workflow for targeted retention intervention.,2026-02-06,2026-02-13,,new,,,
